Id;CreatorId;CustomerId;Description;Address;TerminalId;Location;Status;Priority;CreateTime;ResolutionDate;IssueType;TechnicianId;ServiceDate
22;6;12;El kell végezni a leszerelést;Táncsics Mihály utca 99;17249;Budakeszi;elvégezve;közepes;2025. 01. 25. 0:00:00;2025. 02. 08. 0:00:00;leszerelés;17;2025. 02. 08. 0:00:00
23;10;13;El kell végezni a telepítést;Temető utca 43;19397;Nyírbátor;elvégezve;magas;2023. 04. 22. 0:00:00;2023. 05. 06. 0:00:00;telepítés;17;2023. 05. 06. 0:00:00
24;4;13;El kell végezni a szervizelést;Temető utca 43;19397;Nyírbátor;elvégezve;alacsony;2023. 05. 20. 0:00:00;2023. 06. 03. 0:00:00;szerviz;19;2023. 06. 03. 0:00:00
25;6;13;El kell végezni a leszerelést;Temető utca 43;19397;Nyírbátor;elvégezve;alacsony;2023. 06. 17. 0:00:00;2023. 07. 01. 0:00:00;leszerelés;13;2023. 07. 01. 0:00:00
26;5;14;El kell végezni a telepítést;Kert utca 78;19697;Csömör;elvégezve;alacsony;2020. 02. 26. 0:00:00;2020. 03. 11. 0:00:00;telepítés;20;2020. 03. 11. 0:00:00
27;1;14;El kell végezni a szervizelést;Kert utca 78;19697;Csömör;elvégezve;alacsony;2020. 03. 25. 0:00:00;2020. 04. 08. 0:00:00;szerviz;12;2020. 04. 08. 0:00:00
28;5;14;El kell végezni a leszerelést;Kert utca 78;19697;Csömör;elvégezve;közepes;2020. 04. 22. 0:00:00;2020. 05. 06. 0:00:00;leszerelés;14;2020. 05. 06. 0:00:00
29;5;15;El kell végezni a telepítést;Tavaszmező utca 20;16545;Sopron;elvégezve;magas;2024. 09. 08. 0:00:00;2024. 09. 22. 0:00:00;telepítés;20;2024. 09. 22. 0:00:00
30;10;15;El kell végezni a szervizelést;Tavaszmező utca 20;16545;Sopron;elvégezve;közepes;2024. 10. 06. 0:00:00;2024. 10. 20. 0:00:00;szerviz;15;2024. 10. 20. 0:00:00
31;1;16;El kell végezni a telepítést;Temető utca 64;18050;Komló;elvégezve;alacsony;2019. 07. 10. 0:00:00;2019. 07. 24. 0:00:00;telepítés;17;2019. 07. 24. 0:00:00
32;7;16;El kell végezni a szervizelést;Temető utca 64;18050;Komló;elvégezve;alacsony;2019. 08. 07. 0:00:00;2019. 08. 21. 0:00:00;szerviz;16;2019. 08. 21. 0:00:00
33;9;17;El kell végezni a telepítést;Deák Ferenc utca 19;14444;Esztergom;elvégezve;közepes;2025. 03. 23. 0:00:00;2025. 04. 06. 0:00:00;telepítés;20;2025. 04. 06. 0:00:00
34;6;17;El kell végezni a szervizelést;Deák Ferenc utca 19;14444;Esztergom;új;közepes;2025. 04. 20. 0:00:00;;szerviz;0;2025. 05. 04. 0:00:00
35;10;17;El kell végezni a leszerelést;Deák Ferenc utca 19;14444;Esztergom;új;közepes;2025. 05. 18. 0:00:00;;leszerelés;0;2025. 06. 01. 0:00:00
36;6;18;El kell végezni a telepítést;Ady Endre utca 57;11701;Tatabánya;elvégezve;magas;2021. 10. 14. 0:00:00;2021. 10. 28. 0:00:00;telepítés;19;2021. 10. 28. 0:00:00
37;10;18;El kell végezni a leszerelést;Ady Endre utca 57;11701;Tatabánya;elvégezve;közepes;2021. 11. 11. 0:00:00;2021. 11. 25. 0:00:00;leszerelés;15;2021. 11. 25. 0:00:00
38;4;19;El kell végezni a telepítést;Rózsa utca 53;17081;Szigetszentmiklós;elvégezve;közepes;2015. 11. 06. 0:00:00;2015. 11. 20. 0:00:00;telepítés;17;2015. 11. 20. 0:00:00
39;8;19;El kell végezni a szervizelést;Rózsa utca 53;17081;Szigetszentmiklós;elvégezve;közepes;2015. 12. 04. 0:00:00;2015. 12. 18. 0:00:00;szerviz;12;2015. 12. 18. 0:00:00
40;1;19;El kell végezni a szervizelést;Rózsa utca 53;17081;Szigetszentmiklós;elvégezve;magas;2016. 01. 01. 0:00:00;2016. 01. 15. 0:00:00;szerviz;15;2016. 01. 15. 0:00:00
41;10;20;El kell végezni a telepítést;Petőfi utca 67;6584;Csömör;elvégezve;magas;2022. 06. 09. 0:00:00;2022. 06. 23. 0:00:00;telepítés;12;2022. 06. 23. 0:00:00
42;11;21;El kell végezni a telepítést;Sport utca 81;8317;Mezőkövesd;elvégezve;közepes;2022. 02. 22. 0:00:00;2022. 03. 08. 0:00:00;telepítés;16;2022. 03. 08. 0:00:00
43;1;21;El kell végezni a szervizelést;Sport utca 81;8317;Mezőkövesd;elvégezve;alacsony;2022. 03. 22. 0:00:00;2022. 04. 05. 0:00:00;szerviz;13;2022. 04. 05. 0:00:00
44;2;22;El kell végezni a telepítést;Nyár utca 85;7878;Gyömrő;elvégezve;magas;2017. 11. 03. 0:00:00;2017. 11. 17. 0:00:00;telepítés;15;2017. 11. 17. 0:00:00
45;10;23;El kell végezni a telepítést;Erkel Ferenc utca 12;14080;Füzesabony;elvégezve;alacsony;2025. 01. 06. 0:00:00;2025. 01. 20. 0:00:00;telepítés;13;2025. 01. 20. 0:00:00
46;4;24;El kell végezni a telepítést;Ady Endre utca 74;15942;Mosonmagyaróvár;elvégezve;magas;2025. 03. 17. 0:00:00;2025. 03. 31. 0:00:00;telepítés;19;2025. 03. 31. 0:00:00
47;10;24;El kell végezni a szervizelést;Ady Endre utca 74;15942;Mosonmagyaróvár;új;alacsony;2025. 04. 14. 0:00:00;;szerviz;0;2025. 04. 28. 0:00:00
48;6;24;El kell végezni a leszerelést;Ady Endre utca 74;15942;Mosonmagyaróvár;új;magas;2025. 05. 12. 0:00:00;;leszerelés;0;2025. 05. 26. 0:00:00
49;3;25;El kell végezni a telepítést;Arany János utca 98;17576;Nagykanizsa;elvégezve;magas;2024. 07. 28. 0:00:00;2024. 08. 11. 0:00:00;telepítés;15;2024. 08. 11. 0:00:00
50;10;25;El kell végezni a szervizelést;Arany János utca 98;17576;Nagykanizsa;elvégezve;közepes;2024. 08. 25. 0:00:00;2024. 09. 08. 0:00:00;szerviz;16;2024. 09. 08. 0:00:00
51;6;25;El kell végezni a leszerelést;Arany János utca 98;17576;Nagykanizsa;elvégezve;magas;2024. 09. 22. 0:00:00;2024. 10. 06. 0:00:00;leszerelés;12;2024. 10. 06. 0:00:00
52;6;26;El kell végezni a telepítést;Mátyás király utca 7;8157;Szombathely;elvégezve;alacsony;2021. 11. 24. 0:00:00;2021. 12. 08. 0:00:00;telepítés;14;2021. 12. 08. 0:00:00
53;10;27;El kell végezni a telepítést;Munkás utca 36;2066;Veszprém;elvégezve;alacsony;2021. 04. 13. 0:00:00;2021. 04. 27. 0:00:00;telepítés;19;2021. 04. 27. 0:00:00
54;9;27;El kell végezni a szervizelést;Munkás utca 36;2066;Veszprém;elvégezve;magas;2021. 05. 11. 0:00:00;2021. 05. 25. 0:00:00;szerviz;12;2021. 05. 25. 0:00:00
55;7;28;El kell végezni a telepítést;Mátyás király utca 86;9132;Mór;elvégezve;közepes;2022. 05. 16. 0:00:00;2022. 05. 30. 0:00:00;telepítés;15;2022. 05. 30. 0:00:00
56;3;28;El kell végezni a szervizelést;Mátyás király utca 86;9132;Mór;elvégezve;alacsony;2022. 06. 13. 0:00:00;2022. 06. 27. 0:00:00;szerviz;17;2022. 06. 27. 0:00:00
57;2;28;El kell végezni a leszerelést;Mátyás király utca 86;9132;Mór;elvégezve;közepes;2022. 07. 11. 0:00:00;2022. 07. 25. 0:00:00;leszerelés;14;2022. 07. 25. 0:00:00
58;5;29;El kell végezni a telepítést;Ady Endre utca 14;15393;Baja;elvégezve;alacsony;2020. 02. 28. 0:00:00;2020. 03. 13. 0:00:00;telepítés;20;2020. 03. 13. 0:00:00
59;8;29;El kell végezni a szervizelést;Ady Endre utca 14;15393;Baja;elvégezve;magas;2020. 03. 27. 0:00:00;2020. 04. 10. 0:00:00;szerviz;12;2020. 04. 10. 0:00:00
60;9;30;El kell végezni a telepítést;Ady Endre utca 1;6327;Budaörs;elvégezve;közepes;2021. 06. 09. 0:00:00;2021. 06. 23. 0:00:00;telepítés;16;2021. 06. 23. 0:00:00
61;7;31;El kell végezni a telepítést;Szent István utca 61;17239;Lőrinci;elvégezve;közepes;2022. 03. 14. 0:00:00;2022. 03. 28. 0:00:00;telepítés;19;2022. 03. 28. 0:00:00
62;2;32;El kell végezni a telepítést;Madách utca 10;900;Székesfehérvár;elvégezve;magas;2023. 05. 11. 0:00:00;2023. 05. 25. 0:00:00;telepítés;12;2023. 05. 25. 0:00:00
63;7;32;El kell végezni a szervizelést;Madách utca 10;900;Székesfehérvár;elvégezve;alacsony;2023. 06. 08. 0:00:00;2023. 06. 22. 0:00:00;szerviz;17;2023. 06. 22. 0:00:00
64;1;33;El kell végezni a telepítést;Rákóczi tér 7;3855;Szekszárd;elvégezve;alacsony;2024. 11. 12. 0:00:00;2024. 11. 26. 0:00:00;telepítés;14;2024. 11. 26. 0:00:00
65;3;33;El kell végezni a szervizelést;Rákóczi tér 7;3855;Szekszárd;elvégezve;közepes;2024. 12. 10. 0:00:00;2024. 12. 24. 0:00:00;szerviz;19;2024. 12. 24. 0:00:00
66;10;33;El kell végezni a szervizelést;Rákóczi tér 7;3855;Szekszárd;elvégezve;alacsony;2025. 01. 07. 0:00:00;2025. 01. 21. 0:00:00;szerviz;19;2025. 01. 21. 0:00:00
67;4;34;El kell végezni a telepítést;Széchenyi utca 23;13070;Sümeg;elvégezve;alacsony;2016. 09. 24. 0:00:00;2016. 10. 08. 0:00:00;telepítés;12;2016. 10. 08. 0:00:00
68;4;35;El kell végezni a telepítést;Virág utca 13;16587;Veszprém;elvégezve;alacsony;2020. 02. 15. 0:00:00;2020. 02. 29. 0:00:00;telepítés;14;2020. 02. 29. 0:00:00
69;1;36;El kell végezni a telepítést;Csokonai utca 27;16106;Kunszentmiklós;elvégezve;magas;2025. 02. 17. 0:00:00;2025. 03. 03. 0:00:00;telepítés;12;2025. 03. 03. 0:00:00
70;9;37;El kell végezni a telepítést;Hársfa utca 27;14172;Nagykáta;elvégezve;közepes;2022. 05. 02. 0:00:00;2022. 05. 16. 0:00:00;telepítés;16;2022. 05. 16. 0:00:00
71;5;37;El kell végezni a szervizelést;Hársfa utca 27;14172;Nagykáta;elvégezve;alacsony;2022. 05. 30. 0:00:00;2022. 06. 13. 0:00:00;szerviz;12;2022. 06. 13. 0:00:00
72;3;37;El kell végezni a leszerelést;Hársfa utca 27;14172;Nagykáta;elvégezve;magas;2022. 06. 27. 0:00:00;2022. 07. 11. 0:00:00;leszerelés;19;2022. 07. 11. 0:00:00
73;3;38;El kell végezni a telepítést;Rét utca 56;12730;Ózd;elvégezve;alacsony;2020. 10. 10. 0:00:00;2020. 10. 24. 0:00:00;telepítés;13;2020. 10. 24. 0:00:00
74;7;38;El kell végezni a leszerelést;Rét utca 56;12730;Ózd;elvégezve;alacsony;2020. 11. 07. 0:00:00;2020. 11. 21. 0:00:00;leszerelés;18;2020. 11. 21. 0:00:00
75;2;39;El kell végezni a telepítést;Arany János utca 87;14783;Szombathely;elvégezve;magas;2023. 09. 26. 0:00:00;2023. 10. 10. 0:00:00;telepítés;17;2023. 10. 10. 0:00:00
76;5;40;El kell végezni a telepítést;Iskola utca 73;18591;Pilisszentiván;elvégezve;közepes;2022. 12. 20. 0:00:00;2023. 01. 03. 0:00:00;telepítés;16;2023. 01. 03. 0:00:00
77;4;40;El kell végezni a szervizelést;Iskola utca 73;18591;Pilisszentiván;elvégezve;közepes;2023. 01. 17. 0:00:00;2023. 01. 31. 0:00:00;szerviz;18;2023. 01. 31. 0:00:00
78;1;40;El kell végezni a leszerelést;Iskola utca 73;18591;Pilisszentiván;elvégezve;magas;2023. 02. 14. 0:00:00;2023. 02. 28. 0:00:00;leszerelés;19;2023. 02. 28. 0:00:00
79;11;41;El kell végezni a telepítést;Gyöngyvirág utca 7;15004;Szombathely;elvégezve;magas;2022. 11. 11. 0:00:00;2022. 11. 25. 0:00:00;telepítés;17;2022. 11. 25. 0:00:00
80;6;41;El kell végezni a szervizelést;Gyöngyvirág utca 7;15004;Szombathely;elvégezve;alacsony;2022. 12. 09. 0:00:00;2022. 12. 23. 0:00:00;szerviz;18;2022. 12. 23. 0:00:00
81;10;42;El kell végezni a telepítést;Petőfi utca 80;4503;Dunaújváros;elvégezve;alacsony;2022. 08. 09. 0:00:00;2022. 08. 23. 0:00:00;telepítés;12;2022. 08. 23. 0:00:00
82;3;42;El kell végezni a szervizelést;Petőfi utca 80;4503;Dunaújváros;elvégezve;közepes;2022. 09. 06. 0:00:00;2022. 09. 20. 0:00:00;szerviz;18;2022. 09. 20. 0:00:00
83;1;42;El kell végezni a leszerelést;Petőfi utca 80;4503;Dunaújváros;elvégezve;alacsony;2022. 10. 04. 0:00:00;2022. 10. 18. 0:00:00;leszerelés;20;2022. 10. 18. 0:00:00
84;9;43;El kell végezni a telepítést;Tavaszmező utca 18;11705;Dunaújváros;elvégezve;közepes;2025. 02. 24. 0:00:00;2025. 03. 10. 0:00:00;telepítés;12;2025. 03. 10. 0:00:00
85;2;44;El kell végezni a telepítést;Jázmin utca 8;19605;Esztergom;elvégezve;közepes;2022. 01. 04. 0:00:00;2022. 01. 18. 0:00:00;telepítés;16;2022. 01. 18. 0:00:00
86;2;44;El kell végezni a szervizelést;Jázmin utca 8;19605;Esztergom;elvégezve;közepes;2022. 02. 01. 0:00:00;2022. 02. 15. 0:00:00;szerviz;18;2022. 02. 15. 0:00:00
87;1;44;El kell végezni a szervizelést;Jázmin utca 8;19605;Esztergom;elvégezve;alacsony;2022. 03. 01. 0:00:00;2022. 03. 15. 0:00:00;szerviz;18;2022. 03. 15. 0:00:00
88;5;45;El kell végezni a telepítést;Vasút utca 5;6697;Nagykőrös;elvégezve;magas;2024. 07. 08. 0:00:00;2024. 07. 22. 0:00:00;telepítés;14;2024. 07. 22. 0:00:00
89;6;46;El kell végezni a telepítést;Erkel Ferenc utca 90;14460;Csömör;elvégezve;alacsony;2023. 02. 20. 0:00:00;2023. 03. 06. 0:00:00;telepítés;17;2023. 03. 06. 0:00:00
90;2;46;El kell végezni a szervizelést;Erkel Ferenc utca 90;14460;Csömör;elvégezve;magas;2023. 03. 20. 0:00:00;2023. 04. 03. 0:00:00;szerviz;12;2023. 04. 03. 0:00:00
91;4;46;El kell végezni a leszerelést;Erkel Ferenc utca 90;14460;Csömör;elvégezve;közepes;2023. 04. 17. 0:00:00;2023. 05. 01. 0:00:00;leszerelés;14;2023. 05. 01. 0:00:00
92;8;47;El kell végezni a telepítést;Rákóczi tér 81;17020;Gödöllő;elvégezve;alacsony;2024. 12. 06. 0:00:00;2024. 12. 20. 0:00:00;telepítés;18;2024. 12. 20. 0:00:00
93;9;47;El kell végezni a szervizelést;Rákóczi tér 81;17020;Gödöllő;elvégezve;magas;2025. 01. 03. 0:00:00;2025. 01. 17. 0:00:00;szerviz;14;2025. 01. 17. 0:00:00
94;8;47;El kell végezni a szervizelést;Rákóczi tér 81;17020;Gödöllő;elvégezve;magas;2025. 01. 31. 0:00:00;2025. 02. 14. 0:00:00;szerviz;15;2025. 02. 14. 0:00:00
95;9;48;El kell végezni a telepítést;Új utca 85;15636;Orosháza;elvégezve;alacsony;2023. 09. 02. 0:00:00;2023. 09. 16. 0:00:00;telepítés;17;2023. 09. 16. 0:00:00
96;8;48;El kell végezni a leszerelést;Új utca 85;15636;Orosháza;elvégezve;magas;2023. 09. 30. 0:00:00;2023. 10. 14. 0:00:00;leszerelés;12;2023. 10. 14. 0:00:00
97;8;49;El kell végezni a telepítést;Szabadság utca 43;8657;Csongrád;elvégezve;magas;2022. 10. 14. 0:00:00;2022. 10. 28. 0:00:00;telepítés;17;2022. 10. 28. 0:00:00
98;5;49;El kell végezni a leszerelést;Szabadság utca 43;8657;Csongrád;elvégezve;közepes;2022. 11. 11. 0:00:00;2022. 11. 25. 0:00:00;leszerelés;13;2022. 11. 25. 0:00:00
99;11;50;El kell végezni a telepítést;Kossuth utca 21;8835;Tiszaújváros;elvégezve;közepes;2024. 07. 05. 0:00:00;2024. 07. 19. 0:00:00;telepítés;16;2024. 07. 19. 0:00:00
100;4;50;El kell végezni a szervizelést;Kossuth utca 21;8835;Tiszaújváros;elvégezve;közepes;2024. 08. 02. 0:00:00;2024. 08. 16. 0:00:00;szerviz;14;2024. 08. 16. 0:00:00
101;8;50;El kell végezni a leszerelést;Kossuth utca 21;8835;Tiszaújváros;elvégezve;alacsony;2024. 08. 30. 0:00:00;2024. 09. 13. 0:00:00;leszerelés;18;2024. 09. 13. 0:00:00
102;10;51;El kell végezni a telepítést;Rákóczi tér 59;3621;Szeged;elvégezve;magas;2024. 07. 02. 0:00:00;2024. 07. 16. 0:00:00;telepítés;19;2024. 07. 16. 0:00:00
103;1;51;El kell végezni a szervizelést;Rákóczi tér 59;3621;Szeged;elvégezve;magas;2024. 07. 30. 0:00:00;2024. 08. 13. 0:00:00;szerviz;16;2024. 08. 13. 0:00:00
104;10;51;El kell végezni a leszerelést;Rákóczi tér 59;3621;Szeged;elvégezve;alacsony;2024. 08. 27. 0:00:00;2024. 09. 10. 0:00:00;leszerelés;16;2024. 09. 10. 0:00:00
105;7;52;El kell végezni a telepítést;Kossuth utca 9;18808;Szentendre;elvégezve;alacsony;2020. 12. 23. 0:00:00;2021. 01. 06. 0:00:00;telepítés;16;2021. 01. 06. 0:00:00
106;3;53;El kell végezni a telepítést;Rákóczi tér 63;16261;Komló;elvégezve;közepes;2022. 03. 02. 0:00:00;2022. 03. 16. 0:00:00;telepítés;18;2022. 03. 16. 0:00:00
107;5;53;El kell végezni a szervizelést;Rákóczi tér 63;16261;Komló;elvégezve;közepes;2022. 03. 30. 0:00:00;2022. 04. 13. 0:00:00;szerviz;16;2022. 04. 13. 0:00:00
108;4;53;El kell végezni a szervizelést;Rákóczi tér 63;16261;Komló;elvégezve;magas;2022. 04. 27. 0:00:00;2022. 05. 11. 0:00:00;szerviz;16;2022. 05. 11. 0:00:00
109;7;54;El kell végezni a telepítést;Árpád utca 93;19568;Szentgotthárd;elvégezve;közepes;2019. 12. 07. 0:00:00;2019. 12. 21. 0:00:00;telepítés;17;2019. 12. 21. 0:00:00
110;9;54;El kell végezni a szervizelést;Árpád utca 93;19568;Szentgotthárd;elvégezve;közepes;2020. 01. 04. 0:00:00;2020. 01. 18. 0:00:00;szerviz;12;2020. 01. 18. 0:00:00
111;2;55;El kell végezni a telepítést;Erkel Ferenc utca 14;19791;Balatonalmádi;elvégezve;magas;2024. 06. 26. 0:00:00;2024. 07. 10. 0:00:00;telepítés;19;2024. 07. 10. 0:00:00
112;5;56;El kell végezni a telepítést;Rét utca 36;1909;Vecsés;elvégezve;közepes;2024. 09. 06. 0:00:00;2024. 09. 20. 0:00:00;telepítés;16;2024. 09. 20. 0:00:00
113;11;57;El kell végezni a telepítést;Gyöngyvirág utca 6;17139;Hódmezővásárhely;elvégezve;magas;2021. 12. 30. 0:00:00;2022. 01. 13. 0:00:00;telepítés;13;2022. 01. 13. 0:00:00
114;4;58;El kell végezni a telepítést;Fő utca 67;513;Tiszaújváros;elvégezve;magas;2024. 02. 08. 0:00:00;2024. 02. 22. 0:00:00;telepítés;14;2024. 02. 22. 0:00:00
115;1;59;El kell végezni a telepítést;Deák Ferenc utca 37;10460;Körmend;elvégezve;magas;2019. 03. 15. 0:00:00;2019. 03. 29. 0:00:00;telepítés;16;2019. 03. 29. 0:00:00
116;7;59;El kell végezni a szervizelést;Deák Ferenc utca 37;10460;Körmend;elvégezve;magas;2019. 04. 12. 0:00:00;2019. 04. 26. 0:00:00;szerviz;16;2019. 04. 26. 0:00:00
117;2;59;El kell végezni a szervizelést;Deák Ferenc utca 37;10460;Körmend;elvégezve;alacsony;2019. 05. 10. 0:00:00;2019. 05. 24. 0:00:00;szerviz;14;2019. 05. 24. 0:00:00
118;8;60;El kell végezni a telepítést;Rákóczi tér 47;11133;Balatonalmádi;elvégezve;közepes;2017. 06. 21. 0:00:00;2017. 07. 05. 0:00:00;telepítés;16;2017. 07. 05. 0:00:00
119;3;60;El kell végezni a szervizelést;Rákóczi tér 47;11133;Balatonalmádi;elvégezve;alacsony;2017. 07. 19. 0:00:00;2017. 08. 02. 0:00:00;szerviz;18;2017. 08. 02. 0:00:00
120;4;60;El kell végezni a szervizelést;Rákóczi tér 47;11133;Balatonalmádi;elvégezve;közepes;2017. 08. 16. 0:00:00;2017. 08. 30. 0:00:00;szerviz;20;2017. 08. 30. 0:00:00
121;6;61;El kell végezni a telepítést;Szőlő utca 41;17386;Pilisvörösvár;elvégezve;alacsony;2019. 12. 30. 0:00:00;2020. 01. 13. 0:00:00;telepítés;16;2020. 01. 13. 0:00:00
122;5;61;El kell végezni a leszerelést;Szőlő utca 41;17386;Pilisvörösvár;elvégezve;magas;2020. 01. 27. 0:00:00;2020. 02. 10. 0:00:00;leszerelés;17;2020. 02. 10. 0:00:00
123;1;62;El kell végezni a telepítést;Nyár utca 27;10327;Tata;elvégezve;közepes;2015. 12. 08. 0:00:00;2015. 12. 22. 0:00:00;telepítés;12;2015. 12. 22. 0:00:00
124;10;62;El kell végezni a szervizelést;Nyár utca 27;10327;Tata;elvégezve;közepes;2016. 01. 05. 0:00:00;2016. 01. 19. 0:00:00;szerviz;17;2016. 01. 19. 0:00:00
125;5;63;El kell végezni a telepítést;Alkotmány utca 50;16457;Nyírbátor;elvégezve;alacsony;2021. 08. 08. 0:00:00;2021. 08. 22. 0:00:00;telepítés;18;2021. 08. 22. 0:00:00
126;6;63;El kell végezni a leszerelést;Alkotmány utca 50;16457;Nyírbátor;elvégezve;magas;2021. 09. 05. 0:00:00;2021. 09. 19. 0:00:00;leszerelés;16;2021. 09. 19. 0:00:00
127;1;64;El kell végezni a telepítést;Közép utca 68;11167;Csongrád;elvégezve;magas;2023. 12. 15. 0:00:00;2023. 12. 29. 0:00:00;telepítés;15;2023. 12. 29. 0:00:00
128;10;64;El kell végezni a szervizelést;Közép utca 68;11167;Csongrád;elvégezve;közepes;2024. 01. 12. 0:00:00;2024. 01. 26. 0:00:00;szerviz;19;2024. 01. 26. 0:00:00
129;2;64;El kell végezni a szervizelést;Közép utca 68;11167;Csongrád;elvégezve;alacsony;2024. 02. 09. 0:00:00;2024. 02. 23. 0:00:00;szerviz;17;2024. 02. 23. 0:00:00
130;2;65;El kell végezni a telepítést;Rákóczi utca 4;4937;Hódmezővásárhely;elvégezve;alacsony;2024. 12. 13. 0:00:00;2024. 12. 27. 0:00:00;telepítés;14;2024. 12. 27. 0:00:00
131;4;65;El kell végezni a szervizelést;Rákóczi utca 4;4937;Hódmezővásárhely;elvégezve;magas;2025. 01. 10. 0:00:00;2025. 01. 24. 0:00:00;szerviz;13;2025. 01. 24. 0:00:00
132;9;65;El kell végezni a szervizelést;Rákóczi utca 4;4937;Hódmezővásárhely;elvégezve;közepes;2025. 02. 07. 0:00:00;2025. 02. 21. 0:00:00;szerviz;20;2025. 02. 21. 0:00:00
133;9;66;El kell végezni a telepítést;Mátyás király utca 78;5561;Győr;elvégezve;alacsony;2023. 07. 16. 0:00:00;2023. 07. 30. 0:00:00;telepítés;20;2023. 07. 30. 0:00:00
