Id;FirstName;LastName;Email;Phone;Location;Address;BirthDate;ContractDate;RegistrationDate;Status;TerminalId;Password
22;Ákos;Kis;akis22@gmail.com;+36489509679;Gyömrő;Nyár utca 85;1988. 04. 26. 0:00:00;2017. 11. 03. 0:00:00;2017. 11. 03. 0:00:00;aktív;7878;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
23;Márton;Vincze;mvincze23@gmail.com;+36969941005;Füzesabony;Erkel Ferenc utca 12;1995. 12. 21. 0:00:00;2025. 01. 06. 0:00:00;2025. 01. 06. 0:00:00;aktív;14080;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
24;András;Lengyel;alengyel24@gmail.com;+36469452250;Mosonmagyaróvár;Ady Endre utca 74;1967. 10. 02. 0:00:00;2025. 03. 17. 0:00:00;2025. 03. 17. 0:00:00;inaktív;15942;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
25;János;Fekete;jfekete25@gmail.com;+36207920952;Nagykanizsa;Arany János utca 98;1999. 05. 09. 0:00:00;2024. 07. 28. 0:00:00;2024. 07. 28. 0:00:00;inaktív;17576;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
26;Orsolya;Illés;oilles26@gmail.com;+36991984679;Szombathely;Mátyás király utca 7;1971. 12. 25. 0:00:00;2021. 11. 24. 0:00:00;2021. 11. 24. 0:00:00;aktív;8157;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
27;Jázmin;Hajdu;jhajdu27@gmail.com;+36907983933;Veszprém;Munkás utca 36;2003. 06. 25. 0:00:00;2021. 04. 13. 0:00:00;2021. 04. 13. 0:00:00;aktív;2066;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
28;Anna;Soós;asoos28@gmail.com;+36617894684;Mór;Mátyás király utca 86;1972. 07. 12. 0:00:00;2022. 05. 16. 0:00:00;2022. 05. 16. 0:00:00;inaktív;9132;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
29;Péter;Bíró;pbiro29@gmail.com;+36797470393;Baja;Ady Endre utca 14;1965. 01. 23. 0:00:00;2020. 02. 28. 0:00:00;2020. 02. 28. 0:00:00;aktív;15393;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
30;Ramóna;Gulyás;rgulyas30@gmail.com;+36503735981;Budaörs;Ady Endre utca 1;1980. 10. 04. 0:00:00;2021. 06. 09. 0:00:00;2021. 06. 09. 0:00:00;aktív;6327;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
31;Benedek;Soós;bsoos31@gmail.com;+36382138841;Lőrinci;Szent István utca 61;1972. 07. 14. 0:00:00;2022. 03. 14. 0:00:00;2022. 03. 14. 0:00:00;aktív;17239;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
32;Fanni;Fazekas;ffazekas32@gmail.com;+36934855614;Székesfehérvár;Madách utca 10;1966. 10. 03. 0:00:00;2023. 05. 11. 0:00:00;2023. 05. 11. 0:00:00;aktív;900;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
33;Csaba;Kozma;ckozma33@gmail.com;+36799504727;Szekszárd;Rákóczi tér 7;1987. 12. 20. 0:00:00;2024. 11. 12. 0:00:00;2024. 11. 12. 0:00:00;aktív;3855;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
34;Fanni;Székely;fszekely34@gmail.com;+36545600756;Sümeg;Széchenyi utca 23;1961. 08. 01. 0:00:00;2016. 09. 24. 0:00:00;2016. 09. 24. 0:00:00;aktív;13070;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
35;Béla;Illés;billes35@gmail.com;+36937555163;Veszprém;Virág utca 13;1969. 10. 20. 0:00:00;2020. 02. 15. 0:00:00;2020. 02. 15. 0:00:00;aktív;16587;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
36;Dominik;Orsós;dorsos36@gmail.com;+36404668008;Kunszentmiklós;Csokonai utca 27;1960. 12. 21. 0:00:00;2025. 02. 17. 0:00:00;2025. 02. 17. 0:00:00;aktív;16106;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
37;Vera;Orsós;vorsos37@gmail.com;+36646085022;Nagykáta;Hársfa utca 27;2001. 07. 03. 0:00:00;2022. 05. 02. 0:00:00;2022. 05. 02. 0:00:00;inaktív;14172;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
38;Nikolett;Faragó;nfarago38@gmail.com;+36513393604;Ózd;Rét utca 56;1989. 10. 15. 0:00:00;2020. 10. 10. 0:00:00;2020. 10. 10. 0:00:00;inaktív;12730;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
39;Mária;Nemes;mnemes39@gmail.com;+36859129911;Szombathely;Arany János utca 87;1992. 01. 17. 0:00:00;2023. 09. 26. 0:00:00;2023. 09. 26. 0:00:00;aktív;14783;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
40;Tamás;Balogh;tbalogh40@gmail.com;+36736965287;Pilisszentiván;Iskola utca 73;1965. 11. 15. 0:00:00;2022. 12. 20. 0:00:00;2022. 12. 20. 0:00:00;inaktív;18591;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
41;Natasa;Szalai;nszalai41@gmail.com;+36388217883;Szombathely;Gyöngyvirág utca 7;1986. 01. 26. 0:00:00;2022. 11. 11. 0:00:00;2022. 11. 11. 0:00:00;aktív;15004;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
42;Laura;Vass;lvass42@gmail.com;+36867868815;Dunaújváros;Petőfi utca 80;1970. 12. 30. 0:00:00;2022. 08. 09. 0:00:00;2022. 08. 09. 0:00:00;inaktív;4503;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
43;Nina;Balázs;nbalazs43@gmail.com;+36623499466;Dunaújváros;Tavaszmező utca 18;1962. 10. 19. 0:00:00;2025. 02. 24. 0:00:00;2025. 02. 24. 0:00:00;aktív;11705;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
44;Lilla;Fodor;lfodor44@gmail.com;+36575152825;Esztergom;Jázmin utca 8;1971. 03. 12. 0:00:00;2022. 01. 04. 0:00:00;2022. 01. 04. 0:00:00;aktív;19605;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
45;Hanna;Hajdu;hhajdu45@gmail.com;+36969639852;Nagykőrös;Vasút utca 5;1973. 07. 03. 0:00:00;2024. 07. 08. 0:00:00;2024. 07. 08. 0:00:00;aktív;6697;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
46;Ildikó;Fülöp;ifulop46@gmail.com;+36433550090;Csömör;Erkel Ferenc utca 90;1988. 02. 11. 0:00:00;2023. 02. 20. 0:00:00;2023. 02. 20. 0:00:00;inaktív;14460;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
47;Viktória;Balla;vballa47@gmail.com;+36542783973;Gödöllő;Rákóczi tér 81;1991. 07. 12. 0:00:00;2024. 12. 06. 0:00:00;2024. 12. 06. 0:00:00;aktív;17020;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
48;Noémi;Székely;nszekely48@gmail.com;+36592200512;Orosháza;Új utca 85;1995. 03. 27. 0:00:00;2023. 09. 02. 0:00:00;2023. 09. 02. 0:00:00;inaktív;15636;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
49;Zsófia;Papp;zpapp49@gmail.com;+36247319453;Csongrád;Szabadság utca 43;1985. 09. 07. 0:00:00;2022. 10. 14. 0:00:00;2022. 10. 14. 0:00:00;inaktív;8657;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
50;Gergő;Török;gtorok50@gmail.com;+36809339555;Tiszaújváros;Kossuth utca 21;1982. 09. 07. 0:00:00;2024. 07. 05. 0:00:00;2024. 07. 05. 0:00:00;inaktív;8835;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
51;András;Illés;ailles51@gmail.com;+36654064688;Szeged;Rákóczi tér 59;1983. 12. 17. 0:00:00;2024. 07. 02. 0:00:00;2024. 07. 02. 0:00:00;inaktív;3621;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
52;Bence;Pásztor;bpasztor52@gmail.com;+36379100643;Szentendre;Kossuth utca 9;1979. 05. 06. 0:00:00;2020. 12. 23. 0:00:00;2020. 12. 23. 0:00:00;aktív;18808;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
53;Luca;Hajdu;lhajdu53@gmail.com;+36335234836;Komló;Rákóczi tér 63;1964. 12. 13. 0:00:00;2022. 03. 02. 0:00:00;2022. 03. 02. 0:00:00;aktív;16261;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
54;Benedek;Kelemen;bkelemen54@gmail.com;+36988210112;Szentgotthárd;Árpád utca 93;1991. 06. 01. 0:00:00;2019. 12. 07. 0:00:00;2019. 12. 07. 0:00:00;aktív;19568;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
55;Zoltán;Fehér;zfeher55@gmail.com;+36629095871;Balatonalmádi;Erkel Ferenc utca 14;1968. 10. 02. 0:00:00;2024. 06. 26. 0:00:00;2024. 06. 26. 0:00:00;aktív;19791;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
56;Arnold;Fehér;afeher56@gmail.com;+36942200728;Vecsés;Rét utca 36;1977. 09. 10. 0:00:00;2024. 09. 06. 0:00:00;2024. 09. 06. 0:00:00;aktív;1909;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
57;Judit;Balogh;jbalogh57@gmail.com;+36378793956;Hódmezővásárhely;Gyöngyvirág utca 6;1983. 01. 15. 0:00:00;2021. 12. 30. 0:00:00;2021. 12. 30. 0:00:00;aktív;17139;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
58;Ágnes;Borbély;aborbely58@gmail.com;+36894708630;Tiszaújváros;Fő utca 67;1966. 08. 19. 0:00:00;2024. 02. 08. 0:00:00;2024. 02. 08. 0:00:00;aktív;513;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
59;Erik;Fazekas;efazekas59@gmail.com;+36731722986;Körmend;Deák Ferenc utca 37;1962. 10. 31. 0:00:00;2019. 03. 15. 0:00:00;2019. 03. 15. 0:00:00;aktív;10460;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
60;Ildikó;Hegedűs;ihegedus60@gmail.com;+36393662159;Balatonalmádi;Rákóczi tér 47;1969. 05. 09. 0:00:00;2017. 06. 21. 0:00:00;2017. 06. 21. 0:00:00;aktív;11133;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
61;Roland;Kocsis;rkocsis61@gmail.com;+36757400454;Pilisvörösvár;Szőlő utca 41;1987. 11. 03. 0:00:00;2019. 12. 30. 0:00:00;2019. 12. 30. 0:00:00;inaktív;17386;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
62;Emese;Magyar;emagyar62@gmail.com;+36989151015;Tata;Nyár utca 27;1969. 11. 07. 0:00:00;2015. 12. 08. 0:00:00;2015. 12. 08. 0:00:00;aktív;10327;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
63;Attila;Pintér;apinter63@gmail.com;+36732971855;Nyírbátor;Alkotmány utca 50;1998. 03. 01. 0:00:00;2021. 08. 08. 0:00:00;2021. 08. 08. 0:00:00;inaktív;16457;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
64;György;Boros;gboros64@gmail.com;+36443916459;Csongrád;Közép utca 68;1980. 08. 03. 0:00:00;2023. 12. 15. 0:00:00;2023. 12. 15. 0:00:00;aktív;11167;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
65;Ferenc;Jakab;fjakab65@gmail.com;+36308088181;Hódmezővásárhely;Rákóczi utca 4;1979. 05. 21. 0:00:00;2024. 12. 13. 0:00:00;2024. 12. 13. 0:00:00;aktív;4937;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
66;Erzsébet;Bognár;ebognar66@gmail.com;+36799987564;Győr;Mátyás király utca 78;2001. 03. 21. 0:00:00;2023. 07. 16. 0:00:00;2023. 07. 16. 0:00:00;inaktív;5561;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
67;Szilvia;Király;skiraly67@gmail.com;+36202684575;Tiszafüred;Petőfi utca 67;1967. 08. 02. 0:00:00;2020. 11. 04. 0:00:00;2020. 11. 04. 0:00:00;aktív;7760;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
68;Rita;Orbán;rorban68@gmail.com;+36411200683;Szombathely;Bem utca 31;1995. 09. 19. 0:00:00;2022. 10. 14. 0:00:00;2022. 10. 14. 0:00:00;aktív;1262;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
69;Enikő;Virág;evirag69@gmail.com;+36583574366;Ráckeve;Iskola utca 35;1984. 01. 23. 0:00:00;2024. 09. 26. 0:00:00;2024. 09. 26. 0:00:00;inaktív;949;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
70;Réka;Kozma;rkozma70@gmail.com;+36647377330;Győr;Zrínyi utca 2;1961. 04. 26. 0:00:00;2022. 05. 05. 0:00:00;2022. 05. 05. 0:00:00;aktív;12964;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
71;Eszter;Fehér;efeher71@gmail.com;+36953827876;Érd;Iskola utca 71;1992. 01. 08. 0:00:00;2024. 10. 29. 0:00:00;2024. 10. 29. 0:00:00;aktív;5042;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
72;Fanni;Nemes;fnemes72@gmail.com;+36989377549;Nagymaros;Erkel Ferenc utca 86;1984. 01. 23. 0:00:00;2024. 05. 07. 0:00:00;2024. 05. 07. 0:00:00;aktív;18112;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
73;Orsolya;Papp;opapp73@gmail.com;+36341343853;Gyula;Erkel Ferenc utca 74;1967. 06. 13. 0:00:00;2020. 02. 08. 0:00:00;2020. 02. 08. 0:00:00;inaktív;10511;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
74;Ilona;Somogyi;isomogyi74@gmail.com;+36558533933;Mezőkövesd;Munkás utca 28;1964. 04. 21. 0:00:00;2020. 09. 05. 0:00:00;2020. 09. 05. 0:00:00;aktív;6480;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
75;Levente;Kis;lkis75@gmail.com;+36834337718;Kiskunfélegyháza;Petőfi utca 14;1970. 10. 13. 0:00:00;2024. 09. 10. 0:00:00;2024. 09. 10. 0:00:00;aktív;9382;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
76;Luca;Márton;lmarton76@gmail.com;+36529185000;Nyírbátor;Táncsics Mihály utca 16;1962. 04. 23. 0:00:00;2022. 12. 12. 0:00:00;2022. 12. 12. 0:00:00;inaktív;17523;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
77;Rita;Orbán;rorban77@gmail.com;+36678985500;Kisvárda;Rákóczi utca 52;1976. 09. 20. 0:00:00;2024. 01. 02. 0:00:00;2024. 01. 02. 0:00:00;aktív;18703;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
78;Zsolt;Papp;zpapp78@gmail.com;+36842870277;Püspökladány;Arany János utca 78;1987. 04. 10. 0:00:00;2024. 09. 24. 0:00:00;2024. 09. 24. 0:00:00;aktív;12519;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
79;Beáta;Oláh;bolah79@gmail.com;+36731694582;Nyírbátor;Mátyás király utca 38;1980. 01. 22. 0:00:00;2023. 12. 15. 0:00:00;2023. 12. 15. 0:00:00;aktív;13521;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
80;Zsuzsanna;Szűcs;zszucs80@gmail.com;+36235153712;Kiskunhalas;Bem utca 10;1990. 05. 23. 0:00:00;2019. 12. 09. 0:00:00;2019. 12. 09. 0:00:00;aktív;4589;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
81;Kincső;Bálint;kbalint81@gmail.com;+36221179814;Nyírbátor;Hunyadi utca 75;1993. 04. 26. 0:00:00;2024. 12. 07. 0:00:00;2024. 12. 07. 0:00:00;inaktív;5784;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
82;Zoltán;Novák;znovak82@gmail.com;+36406755224;Dabas;Sport utca 39;2000. 09. 05. 0:00:00;2023. 07. 20. 0:00:00;2023. 07. 20. 0:00:00;aktív;17301;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
83;Tibor;Szabó;tszabo83@gmail.com;+36793833116;Gödöllő;Rét utca 31;1961. 12. 10. 0:00:00;2025. 04. 03. 0:00:00;2025. 04. 03. 0:00:00;aktív;2790;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
84;Hanna;Novák;hnovak84@gmail.com;+36699637676;Budapest;Béke utca 38;1967. 06. 05. 0:00:00;2017. 09. 24. 0:00:00;2017. 09. 24. 0:00:00;aktív;717;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
85;Vera;Szalai;vszalai85@gmail.com;+36697046154;Budakeszi;Vasút utca 28;1961. 10. 22. 0:00:00;2021. 04. 16. 0:00:00;2021. 04. 16. 0:00:00;aktív;8596;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
86;Boglárka;Nemes;bnemes86@gmail.com;+36387989279;Dabas;Szent István utca 73;1999. 08. 18. 0:00:00;2023. 08. 11. 0:00:00;2023. 08. 11. 0:00:00;aktív;15262;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
87;Dóra;Orsós;dorsos87@gmail.com;+36548199089;Püspökladány;Jázmin utca 10;1989. 08. 18. 0:00:00;2024. 05. 10. 0:00:00;2024. 05. 10. 0:00:00;aktív;9073;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
88;Bianka;Kerekes;bkerekes88@gmail.com;+36335845287;Kunszentmiklós;Dózsa György utca 84;2002. 04. 14. 0:00:00;2019. 03. 25. 0:00:00;2019. 03. 25. 0:00:00;aktív;14882;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
89;Panna;Gál;pgal89@gmail.com;+36459138020;Veszprém;Kossuth tér 90;1961. 12. 30. 0:00:00;2023. 12. 31. 0:00:00;2023. 12. 31. 0:00:00;inaktív;17502;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
90;Zsuzsanna;Takács;ztakacs90@gmail.com;+36554733391;Balatonalmádi;Deák Ferenc utca 7;1987. 06. 24. 0:00:00;2024. 09. 27. 0:00:00;2024. 09. 27. 0:00:00;aktív;17671;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
91;Máté;Pásztor;mpasztor91@gmail.com;+36741434791;Mezőkövesd;Nyár utca 36;1992. 04. 28. 0:00:00;2024. 05. 10. 0:00:00;2024. 05. 10. 0:00:00;inaktív;15088;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
92;Ilona;Kocsis;ikocsis92@gmail.com;+36807019952;Ráckeve;Gyöngyvirág utca 25;1981. 04. 25. 0:00:00;2024. 11. 18. 0:00:00;2024. 11. 18. 0:00:00;aktív;578;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
93;Mátyás;Gáspár;mgaspar93@gmail.com;+36624142331;Kaba;Szabadság utca 16;1971. 09. 29. 0:00:00;2020. 10. 23. 0:00:00;2020. 10. 23. 0:00:00;inaktív;12511;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
94;Lilla;Balázs;lbalazs94@gmail.com;+36735671289;Körmend;Rákóczi utca 49;1983. 06. 01. 0:00:00;2020. 05. 25. 0:00:00;2020. 05. 25. 0:00:00;aktív;11059;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
95;Hanna;Vass;hvass95@gmail.com;+36819448261;Marcali;Csokonai utca 76;1969. 12. 17. 0:00:00;2024. 05. 31. 0:00:00;2024. 05. 31. 0:00:00;aktív;2048;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
96;Ildikó;Veres;iveres96@gmail.com;+36702344255;Törökszentmiklós;Rákóczi utca 36;1991. 02. 26. 0:00:00;2025. 04. 01. 0:00:00;2025. 04. 01. 0:00:00;aktív;18894;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
97;Árpád;Veres;averes97@gmail.com;+36721634139;Ajka;Jókai utca 34;1992. 03. 18. 0:00:00;2021. 08. 19. 0:00:00;2021. 08. 19. 0:00:00;aktív;17826;248b646537648c1fbdeb42b56771dbdb42129e8bab527ff551a1f49ce499464f
